,date,startup,vertical,subvertical,city,investor,round,amount
746,2017-06-14,MrNeeds,ecommerce,Micro Food Delivery platform,delhi,undisclosed investors,Seed/Angel,4.0
747,2017-06-15,MoneyTap,ecommerce,Money Lending platform,bangalore,"Sequoia India, NEA, Prime Venture Partners",PrivateEquity,98.4
748,2017-06-16,Goodbox,ecommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,bangalore,"Nexus Venture Partners, Mekin Maheshwari",PrivateEquity,8.0
749,2017-06-16,Fincash,ecommerce,Personal Finance platform,mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed/Angel,0.8
750,2017-06-16,PortDesk,tech,Maritime Solutions,delhi,Alphard Maritime Group,Seed/Angel,16.0
751,2017-06-16,EdgeFx,ecommerce,DIY project Kits seller,hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed/Angel,0.0
752,2017-06-16,EazyDiner,ecommerce,Online Restaurant Reservation Platform,delhi,YouWeCan Ventures,Seed/Angel,0.0
753,2017-06-16,HealthIntel,health,Online Pharmacy,delhi,BLIP Initiatives,Seed/Angel,0.0
754,2017-06-19,Unbxd,tech,Cloud-based product discovery platform,bangalore,Eight Roads Ventures,PrivateEquity,100.0
755,2017-06-19,DarwinBox,tech,Enterprise human resources management platform,hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",PrivateEquity,32.0
756,2017-06-20,ForeverShop,ecommerce,Mobile based ecommerce platform,bangalore,91maker.com,Seed/Angel,2.4
757,2017-06-20,Insider,ecommerce,Events Ticketing platform,mumbai,Paytm,PrivateEquity,41.6
758,2017-06-21,Fynd,ecommerce,Fashion etailer,mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",PrivateEquity,19.2
759,2017-06-21,Grow Fit,ecommerce,Health-Tech platform,bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",PrivateEquity,36.0
760,2017-06-21,Fabulyst,tech,Artificial Intelligence based platform,hyderabad,iBhubs,Seed/Angel,1.72
761,2017-06-21,mSwipe,tech,Point-of-Sale services,mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",PrivateEquity,248.0
762,2017-06-21,OneAssist,ecommerce,Credit card fraud protection,mumbai,Sequoia Capital,PrivateEquity,0.0
763,2017-06-22,Julia Computing,tech,Open Source Language for Data Science and Machine Learning,bangalore,"General Catalyst, Founder Collective",PrivateEquity,36.8
764,2017-06-22,Kissht,ecommerce,Consumer Lending platform,mumbai,"Endiya Partners, Ventureast",PrivateEquity,16.0
765,2017-06-22,Explore Life traveling,ecommerce,Local homes booking platform,bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed/Angel,4.0
766,2017-06-23,Loantap,ecommerce,Lending platform for salaried professionals,mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",PrivateEquity,32.0
767,2017-06-23,Voxweb,ecommerce,Mobile based social networking platform,mumbai,Undisclosed investors,Seed/Angel,8.0
768,2017-06-26,HUG Innovations,tech,Gesture based\\xc2\\xa0 Smartwatch manufacturer,hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",PrivateEquity,40.0
769,2017-06-26,Flipkart,ecommerce,Online marketplace,bangalore,Naspers,PrivateEquity,568.0
770,2017-06-26,V Resorts,ecommerce,Holiday & Vacation resort aggregator,delhi,"Seedfund, RB International",PrivateEquity,32.0
771,2017-06-27,Stashfin,ecommerce,Personal Finance App,delhi,"Snow Leopard Ventures, Alto Partners",PrivateEquity,40.0
772,2017-06-27,Formcept,ecommerce,Unified Data Analysis platform,bangalore,Gujarat Venture Finance Ltd,PrivateEquity,0.0
773,2017-06-27,Spares Hub,ecommerce,Automobile parts marketplace,pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed/Angel,2.488
774,2017-06-28,FiTraQ,ecommerce,Fitness Centre Discovery Platform,delhi,"Aparup Sengupta, Devendra Reddy,",Seed/Angel,0.0
775,2017-06-28,Rubique,ecommerce,Online Marketplace for financial products,mumbai,"Kalaari Capital, Udayan Goyal",PrivateEquity,24.0
776,2017-06-28,Niki,ecommerce,AI Based Personal Assistant,bangalore,"SAP.iO, Unilazer Ventures",PrivateEquity,16.0
777,2017-06-29,Fitpass,ecommerce,Online Fitness Marketplace,delhi,"Abhinav Bindra, Gaurav Marya",PrivateEquity,8.0
778,2017-06-29,ZingHR,tech,"digital employee solutions,",mumbai,Zeta,PrivateEquity,0.0
779,2017-06-30,Tagos Design,tech,in-video discovery platform,bangalore,Undisclosed Investors,PrivateEquity,40.0
780,2017-06-30,UrbanClap,ecommerce,Mobile Services Marketplace,delhi,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",PrivateEquity,168.0
781,2017-05-01,Ace2three,ecommerce,Online Rummy playing Website,hyderabad,Clairvest Group,PrivateEquity,589.6
782,2017-05-01,Power2SME,ecommerce,Buying portal for SMEs,delhi,International Finance Corporation,PrivateEquity,80.0
783,2017-05-02,Innovapptive,tech,Enterprise Mobility Solutions,hyderabad,Hyderabad Angels,Seed/Angel,12.0
784,2017-05-02,4tigo,transport_mobility,Truck Network company,bangalore,"Accel Partners, Nandan Nilekani,",PrivateEquity,80.0
785,2017-05-02,SMECorner,ecommerce,Online Platform for small business loans,mumbai,Dutch government fund,PrivateEquity,0.0
786,2017-05-02,ZippServe,ecommerce,Real estate risk assessment platform,bangalore,undisclosed investors,Seed/Angel,3.12
787,2017-05-03,Ola,ecommerce,Cab Aggregation App,bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",PrivateEquity,836.0
788,2017-05-03,Sumeru,tech,Software & Mobile development services,bangalore,undisclosed investors,Seed/Angel,8.0
